model_name,initial_os,release_date,discontinued_date,support_ended,final_os,support_lifespan_max,support_lifespan_min,support_status,release_year
iPhone 15,iOS 17.0,2023-09-22,2025-09-09,,–,"2 years, 9 months",9 months,"Discontinued, still supported",2023
iPhone 15 Plus,iOS 17.0,2023-09-22,2025-09-09,,–,"2 years, 9 months",9 months,"Discontinued, still supported",2023
iPhone 15 Pro,iOS 17.0,2023-09-22,2024-09-09,,–,"2 years, 9 months","1 year, 9 months","Discontinued, still supported",2023
iPhone 15 Pro Max,iOS 17.0,2023-09-22,2024-09-09,,–,"2 years, 9 months","1 year, 9 months","Discontinued, still supported",2023
iPhone 16,iOS 18.0,2024-09-20,,,–,"1 year, 9 months",,Current or still sold,2024
iPhone 16 Plus,iOS 18.0,2024-09-20,,,–,"1 year, 9 months",,Current or still sold,2024
iPhone 16 Pro,iOS 18.0,2024-09-20,2025-09-09,,–,"1 year, 9 months",9 months,"Discontinued, still supported",2024
iPhone 16 Pro Max,iOS 18.0,2024-09-20,2025-09-09,,–,"1 year, 9 months",9 months,"Discontinued, still supported",2024
iPhone 16e,iOS 18.3,2025-02-28,2026-03-02,,–,"1 year, 4 months",3 months,"Discontinued, still supported",2025
iPhone 17,iOS 26.0,2025-09-19,,,–,9 months,,Current or still sold,2025
iPhone Air,iOS 26.0,2025-09-19,,,–,9 months,,Current or still sold,2025
iPhone 17 Pro,iOS 26.0,2025-09-19,,,–,9 months,,Current or still sold,2025
iPhone 17 Pro Max,iOS 26.0,2025-09-19,,,–,9 months,,Current or still sold,2025
iPhone 17e,iOS 26.3,2026-03-11,,,–,3 months,,Current or still sold,2026
